	splice1	splice2	splice3	splice4	splice5	splice6	splice7	splice8	splice9	splice10	gene1	gene2	gene3	gene4	gene5	gene6	gene7	gene8	gene9	gene10
person1	0.042135141324773036	0.15377686745839816	-1.05343622345797	0.5665519572988573	-0.5717979640568397	-0.28903605278678784	-0.5209953600365801	1.7473590988672805	-1.0793055319154152	-0.18640583890457477	0.8706988564986687	-0.7151676379793732	1.0815971313420016	-0.23021148929448065	-0.06453004082707298	-1.1404224929421454	0.3320954198058915	-0.2584616137507252	0.5272260185297674	-0.5025819065523685
person2	0.9393736571892646	0.6486630780813676	-1.5830840801959605	0.13988939983880572	-1.5008066172879237	0.924168624646496	0.4761357794765787	-0.5021202338454618	-1.0408131927825888	0.013903621732448539	1.1815117014265297	-0.232570156158875	0.7449052088316286	-1.005066767301884	-0.15433785255180518	0.343654350601697	-0.7976274128027238	0.966709253452171	-0.3405715810737793	-0.9225288553193223
person3	-0.7693615612185459	-1.0305891370248537	1.1747713950648295	1.0598324144160292	-0.2896571028934273	-0.8626934769701384	-1.0850547961096724	1.1422193217508698	-0.982782209789586	-1.1503330944573618	0.46091370730084535	0.2766294507455814	2.563395994197366	1.4500432809043071	2.5615446589826227	-0.5820335589563528	-0.563979823460867	1.4965823700376673	-0.2611541450019955	-1.301014224949639
person4	0.5575868752113997	0.17718915416926562	0.12366808186093642	0.3338697668803807	-0.5305887745401765	1.332073393495249	-1.5648947169690968	0.5539634330993688	-0.32707918216286336	1.0903229610841725	-0.6746498351440701	-0.23375441232131733	0.0053621079329164816	-0.2847886585145354	-0.9095471308455065	-0.0600408890637012	-0.8899753903909807	0.20624576447165402	-0.8972056918323693	-1.0081843421467998
person5	-0.2690516881956054	0.4197238873859394	-0.8681282738407	0.24388561602118783	0.5749911455385512	-0.3512055228941829	-0.4147077775621535	1.3528186116922785	-0.04440913035142219	2.365795192996548	-0.682736866810221	-0.9223591727026481	-0.6153616806462994	0.302166072079163	0.11527063404356583	0.4462549646118587	1.606052742272807	1.6107196434466233	2.2090957904102346	-0.8589477565285494
person6	-0.054310616234741704	-1.5266662301780476	-0.22643743477174308	1.3693173366639153	-0.24768903782324464	-1.0176241344323846	1.545932614223104	-0.20795098610821844	-0.47457392047509495	0.6860090064095993	-0.05352982769508125	-0.4380914709593379	0.06467418985264947	-0.051888686710379245	1.7307963752143454	-1.1943984642252377	-0.5003464524860448	-0.8481252835090418	-1.6548471964639198	-0.2728464026337043
person7	-0.08217091653406557	0.3500902828077512	-0.6086574981491681	-0.7062567419380353	-0.8032246526174002	0.9228441294311418	0.19628318855405444	-0.1878438852156143	-2.7271773929095597	-0.8132760900335047	-1.0513854543825472	-1.495665413284725	0.7433738107043127	1.1041473672610298	-0.5098696690130393	1.9456327200404626	0.25023039274365755	-1.9746447934532467	1.153091380060461	0.6032083254566386
person8	-0.20963423389642397	1.2426947095626706	-0.36404748808769827	1.7343915023358256	-1.7624241074610167	-0.7046439084054459	0.0014106157767129833	-1.2612638585239664	-0.010827453213129501	0.318209614242519	0.5173544609946523	-0.8204211221654798	-0.4941017121276473	-1.6338502906858139	0.08463298405956832	0.4323092466132996	-0.05496593890696275	-1.1650375954229844	0.21517527932722852	0.9790928518746984
person9	0.39717296607770985	0.9168979777698394	-0.14635703684293042	-1.154688856673255	-0.07207955360867374	0.2437563500560509	-1.2743381080246126	-0.6408169822087375	-0.45108730615405296	0.6466186784741784	0.28117584483743796	-0.7902148208735299	-0.7903261987635855	-0.4702441980387479	0.9865173335730159	0.7735185094826286	0.8034950781477996	0.213026187690401	-0.25208508164180266	0.8333052750395585
person10	0.2821849342874369	0.9500150538195835	-0.45032435903654816	2.616022606245825	-0.1394612159137645	0.12063993343023345	-0.0641580665962114	1.3375632151541827	2.398213087458895	0.22345035312074227	-0.6479134652027536	-1.9439619498159348	0.2857089840109366	0.3542839210554909	0.16286978285423523	0.8844444930051653	1.2320961728071715	-0.35168484799659094	-0.016239812647742415	0.04560464080354505
